rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
4.0,3.0,3.0,138.0,100.0,310000.0,Casa
2.0,1.0,2.0,55.0,50.0,225000.0,Departamento
2.0,1.0,1.0,43.0,40.0,90000.0,Departamento
1.0,1.0,1.0,54.0,50.0,150000.0,Departamento
3.0,2.0,1.0,57.0,53.0,230000.0,Departamento
3.0,2.0,1.0,45.0,35.0,99000.0,Departamento
4.0,3.0,2.0,77.0,73.0,235000.0,Departamento
4.0,3.0,1.0,89.0,79.0,189000.0,Departamento
4.0,3.0,1.0,78.0,73.0,210000.0,Departamento
2.0,1.0,1.0,63.0,47.0,205000.0,Departamento
2.0,1.0,1.0,32.0,24.0,80000.0,Departamento
2.0,1.0,1.0,58.0,51.0,150000.0,Departamento
2.0,1.0,1.0,55.0,50.0,200000.0,Departamento
2.0,1.0,1.0,50.0,42.0,194900.0,Departamento
1.0,1.0,1.0,28.0,28.0,86000.0,Departamento
1.0,1.0,,37.0,32.0,88000.0,Departamento
3.0,2.0,1.0,83.0,80.0,240000.0,Departamento
2.0,1.0,2.0,55.0,50.0,225000.0,Departamento
2.0,1.0,1.0,51.0,45.0,150000.0,Departamento
2.0,1.0,1.0,44.0,39.0,118000.0,Departamento
4.0,3.0,2.0,85.0,85.0,125000.0,Departamento
3.0,2.0,1.0,133.0,95.0,330000.0,Departamento
4.0,3.0,2.0,89.0,85.0,169000.0,Departamento
2.0,1.0,1.0,40.0,32.0,80000.0,Departamento
2.0,1.0,1.0,42.0,42.0,165000.0,Departamento
4.0,3.0,2.0,125.0,114.0,350000.0,Departamento
2.0,1.0,1.0,38.0,35.0,95500.0,Departamento
2.0,1.0,1.0,65.0,53.0,122000.0,Departamento
3.0,2.0,1.0,55.0,55.0,100000.0,Departamento
3.0,2.0,2.0,102.0,78.0,195000.0,Departamento
2.0,1.0,1.0,52.0,47.0,203750.0,Departamento
2.0,1.0,1.0,39.0,38.0,140000.0,Departamento
2.0,1.0,1.0,35.0,35.0,90000.0,Departamento
1.0,1.0,1.0,45.0,40.0,120000.0,Departamento
3.0,2.0,1.0,45.0,35.0,99000.0,Departamento
3.0,2.0,1.0,99.0,99.0,240000.0,Departamento
4.0,3.0,2.0,97.0,89.0,290000.0,Departamento
3.0,2.0,1.0,53.0,53.0,129000.0,Departamento
2.0,1.0,1.0,53.0,50.0,185000.0,Departamento
2.0,1.0,1.0,53.0,45.0,185000.0,Departamento
2.0,1.0,1.0,53.0,50.0,185000.0,Departamento
3.0,2.0,1.0,62.0,46.0,148000.0,Departamento
3.0,2.0,2.0,78.0,73.0,315000.0,Departamento
3.0,2.0,1.0,55.0,48.0,97000.0,Departamento
2.0,1.0,1.0,40.0,40.0,110000.0,Departamento
3.0,2.0,1.0,80.0,65.0,160000.0,Departamento
3.0,2.0,1.0,88.0,80.0,150000.0,Departamento
1.0,1.0,1.0,23.0,23.0,83000.0,Departamento
4.0,3.0,1.0,56.0,54.0,144000.0,Departamento
1.0,1.0,1.0,36.0,33.0,102000.0,Departamento
2.0,1.0,,58.0,47.0,99000.0,Departamento
2.0,1.0,1.0,57.0,57.0,170000.0,Departamento
2.0,1.0,1.0,32.0,24.0,80000.0,Departamento
4.0,3.0,2.0,83.0,83.0,220000.0,Departamento
2.0,1.0,1.0,52.0,52.0,98000.0,Departamento
3.0,2.0,1.0,70.0,67.0,150000.0,Departamento
4.0,3.0,1.0,100.0,95.0,200000.0,Departamento
2.0,1.0,1.0,38.0,38.0,79000.0,Departamento
3.0,2.0,1.0,57.0,57.0,149900.0,Departamento
3.0,2.0,1.0,72.0,62.0,159500.0,Departamento
2.0,1.0,1.0,38.0,35.0,110000.0,Departamento
3.0,2.0,1.0,67.0,65.0,139000.0,Departamento
2.0,1.0,1.0,47.0,47.0,87000.0,Departamento
2.0,1.0,1.0,35.0,35.0,90000.0,Departamento
2.0,1.0,1.0,52.0,49.0,170000.0,Departamento
2.0,1.0,2.0,57.0,48.0,141000.0,Departamento
4.0,3.0,2.0,114.0,114.0,282000.0,Departamento
4.0,3.0,1.0,70.0,70.0,92000.0,Departamento
3.0,2.0,1.0,48.0,48.0,98000.0,Departamento
4.0,3.0,1.0,121.0,112.0,360000.0,Departamento
3.0,2.0,1.0,70.0,61.0,249400.0,Departamento
3.0,2.0,1.0,70.0,61.0,245300.0,Departamento
3.0,2.0,1.0,70.0,61.0,243300.0,Departamento
3.0,2.0,1.0,59.0,57.0,140000.0,Departamento
4.0,3.0,2.0,108.0,102.0,365000.0,Departamento
4.0,3.0,2.0,90.0,90.0,270000.0,Departamento
4.0,3.0,2.0,80.0,80.0,238000.0,Departamento
3.0,2.0,1.0,70.0,61.0,247400.0,Departamento
3.0,2.0,2.0,75.0,72.0,205000.0,Departamento
3.0,2.0,2.0,75.0,72.0,205000.0,Departamento
3.0,3.0,2.0,90.0,85.0,185000.0,Departamento
4.0,3.0,1.0,85.0,83.0,209000.0,Departamento
4.0,3.0,3.0,100.0,100.0,393000.0,Departamento
4.0,3.0,1.0,104.0,95.0,184500.0,Departamento
4.0,3.0,1.0,56.0,54.0,143000.0,Departamento
1.0,0.0,1.0,51.0,51.0,145000.0,Departamento
4.0,3.0,2.0,97.0,89.0,245000.0,Departamento
1.0,1.0,1.0,65.0,56.0,156000.0,Departamento
4.0,3.0,1.0,78.0,72.0,205000.0,Departamento
4.0,3.0,2.0,100.0,100.0,252000.0,Departamento
4.0,3.0,2.0,82.0,75.0,180000.0,Departamento
